Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30,
16.01281025,0.18128426,-0.088,0.875489429,148855.4328,330.0163,1.4690889,1.145293424,
16.01281025,0.18199618,-0.088,0.885659714,148398.6597,330.77783,1.4645809,1.147936248,
16.01281025,0.1826548,-0.088,0.895068571,147865.9638,331.47272,1.4593236,1.150347805,
16.01281025,0.18326424,-0.088,0.903774857,147282.3824,332.08789,1.4535641,1.1524827,
16.01281025,0.18382806,-0.088,0.911829429,146584.01,332.61728,1.4466717,1.154319903,
16.01281025,0.18434975,-0.088,0.919282143,145785.3461,333.06528,1.4387895,1.155874649,
16.01281025,0.18483241,-0.088,0.926177286,144973.6923,333.44092,1.4307791,1.157178275,
16.01281025,0.185279,-0.088,0.932557143,144183.0635,333.75333,1.4229762,1.158262467,
16.01281025,0.18569216,-0.088,0.938459429,143417.1579,334.01389,1.4154173,1.159166719,
16.01281025,0.18607447,-0.088,0.943921,142672.1557,334.23181,1.4080647,1.159922991,
16.01281025,0.18642816,-0.088,0.948973714,141937.2151,334.41437,1.4008114,1.16055655,
16.01281025,0.1867554,-0.088,0.953648571,141227.17,334.56763,1.3938038,1.161088426,
16.01281025,0.1870582,-0.088,0.957974286,140574.5357,334.6965,1.3873628,1.161535659,
16.01281025,0.18733835,-0.088,0.961976429,139978.8258,334.80484,1.3814836,1.161911643,
16.01281025,0.18759754,-0.088,0.965679143,139420.0387,334.89572,1.3759688,1.162227035,
16.01281025,0.18783735,-0.088,0.969105,138896.3303,334.97186,1.3708002,1.162491272,
16.01281025,0.18805923,-0.088,0.972274714,138414.1449,335.03528,1.3660414,1.162711366,
16.01281025,0.1882645,-0.088,0.975207143,137968.6492,335.08792,1.3616447,1.162894048,
16.01281025,0.18845445,-0.088,0.977920714,137539.2339,335.13242,1.3574067,1.163048482,
16.01281025,0.18863018,-0.088,0.980431143,137111.156,335.16998,1.3531819,1.16317883,
16.01281025,0.18879278,-0.088,0.982754,136694.6292,335.20187,1.3490711,1.163289502,
16.01281025,0.1889631,-0.088,0.985187143,136279.4298,335.22873,1.3449734,1.163382717,
16.01281025,0.18910974,-0.088,0.987282,135865.5171,335.25128,1.3408884,1.163460975,
16.01281025,0.18923603,-0.088,0.989086143,135475.5476,335.26965,1.3370397,1.163524727,
16.01281025,0.18934476,-0.088,0.990639429,135104.84,335.2847,1.3333811,1.163576956,
16.01281025,0.18943839,-0.088,0.991977,134749.8985,335.29745,1.3298781,1.163621204,
16.01281025,0.189519,-0.088,0.993128571,134407.268,335.30862,1.3264966,1.163659969,
16.01281025,0.18958841,-0.088,0.994120143,134074.5674,335.31854,1.3232131,1.163694395,
16.01281025,0.18964818,-0.088,0.994974,133750.2463,335.32761,1.3200123,1.163725872,
16.01281025,0.18969965,-0.088,0.995709286,133433.099,335.33588,1.3168823,1.163754572,
16.01281025,0.18974397,-0.088,0.996342429,133122.7,335.34338,1.3138189,1.1637806,
16.01281025,0.18978213,-0.088,0.996887571,132817.8536,335.35031,1.3108103,1.16380465,
16.01281025,0.18981498,-0.088,0.997356857,132519.4313,335.35648,1.3078651,1.163826063,
16.01281025,0.18984328,-0.088,0.997761143,132224.7174,335.36212,1.3049565,1.163845636,
16.01281025,0.18986762,-0.088,0.998108857,131930.7837,335.367,1.3020556,1.163862572,
16.01281025,0.18988861,-0.088,0.998408714,131636.5359,335.37115,1.2991516,1.163876974,
16.01281025,0.18990667,-0.088,0.998666714,131340.9911,335.37411,1.2962348,1.163887246,
16.01281025,0.1899222,-0.088,0.998888571,131040.4916,335.37564,1.2932691,1.163892556,
16.01281025,0.18993561,-0.088,0.999080143,130727.1035,335.37476,1.2901762,1.163889502,
16.01281025,0.18994714,-0.088,0.999244857,130391.13,335.37018,1.2868604,1.163873607,
16.01281025,0.18995707,-0.088,0.999386714,130016.6531,335.35977,1.2831646,1.16383748,
16.01281025,0.18996561,-0.088,0.999508714,129585.6064,335.34045,1.2789105,1.163770432,
16.01281025,0.18997297,-0.088,0.999613857,129087.361,335.30936,1.2739932,1.163662537,
16.01281025,0.18997931,-0.088,0.999704429,128540.8342,335.26584,1.2685994,1.163511504,
16.01281025,0.18998478,-0.088,0.999782571,127999.9512,335.21344,1.2632613,1.163329655,
16.01281025,0.18998946,-0.088,0.999849429,127537.0074,335.15887,1.2586924,1.163140274,
16.01281025,0.18999353,-0.088,0.999907571,127191.9553,335.10571,1.255287,1.162955787,
16.01281025,0.18999699,-0.088,0.999957,126991.5851,335.05676,1.2533095,1.16278591,
16.01281025,0.19,-0.088,1,126930.2429,335.02539,1.2527041,1.162677043,
14.84342856,0.12,-0.088,0,140917.7944,334.79907,1.3907505,1.161891619,
14.84342856,0.12000301,-0.088,4.30E-05,140917.7944,334.79907,1.3907505,1.161891619,
14.84342856,0.12000652,-0.088,9.31E-05,141284.3072,334.87079,1.3943677,1.162140517,
14.84342856,0.12001061,-0.088,0.000151571,141879.0647,334.94757,1.4002375,1.162406976,
14.84342856,0.12001542,-0.088,0.000220286,142640.4309,335.02353,1.4077516,1.162670588,
14.84342856,0.12002104,-0.088,0.000300571,143450.4533,335.08844,1.4157459,1.162895853,
14.84342856,0.12002761,-0.088,0.000394429,144201.8897,335.13553,1.423162,1.163059275,
14.84342856,0.12003531,-0.088,0.000504429,144852.3354,335.16516,1.4295814,1.163162103,
14.84342856,0.12004431,-0.088,0.000633,145409.096,335.18134,1.4350762,1.163218254,
14.84342856,0.12005483,-0.088,0.000783286,145903.6734,335.18863,1.4399573,1.163243554,
14.84342856,0.12006716,-0.088,0.000959429,146363.77,335.19,1.4444981,1.163248308,
14.84342856,0.12008157,-0.088,0.001165286,146806.8135,335.18729,1.4488706,1.163238903,
