Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,,,
16.01281025,0.14042601,-0.16747822,0.352032074,35.42778946,1,150454.2197,1.4848677,,,,,,,
16.01281025,0.14210156,-0.16759728,0.374290456,35.08591812,1,150385.8963,1.4841934,,,,,,,
16.01281025,0.14383264,-0.16772029,0.397286511,34.80836634,1,150380.5362,1.4841405,,,,,,,
16.01281025,0.14562109,-0.16784737,0.421044682,34.52934083,1,150388.6726,1.4842208,,,,,,,
16.01281025,0.14746881,-0.16797867,0.445590209,34.12346586,1,150325.8815,1.4836011,,,,,,,
16.01281025,0.14931653,-0.16810997,0.470135736,33.66740447,1,150203.2275,1.4823906,,,,,,,
16.01281025,0.15116426,-0.16824126,0.494681395,33.31207696,1,150123.7685,1.4816064,,,,,,,
16.01281025,0.15301196,-0.16837254,0.519226656,33.01858115,1,150078.1114,1.4811558,,,,,,,
16.01281025,0.15485971,-0.16850385,0.543772582,32.64255671,1,149960.0982,1.4799911,,,,,,,
16.01281025,0.15670741,-0.16863514,0.568317843,32.2475899,1,149787.4607,1.4782873,,,,,,,
16.01281025,0.15855515,-0.16876645,0.592863635,31.97879943,1,149677.6244,1.4772033,,,,,,,
16.01281025,0.16040286,-0.16889773,0.617409029,31.80520877,1,149626.6782,1.4767005,,,,,,,
16.01281025,0.16225059,-0.16902903,0.641954689,31.60344502,1,149515.1497,1.4755998,,,,,,,
16.01281025,0.16409832,-0.16916034,0.666500348,31.413421,1,149338.7834,1.4738592,,,,,,,
16.01281025,0.16594604,-0.16929165,0.691045875,31.3356242,1,149224.2862,1.4727292,,,,,,,
16.01281025,0.16779377,-0.16942291,0.715591535,31.32940449,1,149190.8084,1.4723988,,,,,,,
16.01281025,0.16964148,-0.16955423,0.740136928,31.25366807,1,149164.5044,1.4721392,,,,,,,
16.01281025,0.17148919,-0.16968551,0.764682322,31.0867852,1,149339.594,1.4738672,,,,,,,
16.01281025,0.17333691,-0.16981682,0.789227849,31.02608941,1,149727.9728,1.4777002,,,,,,,
16.01281025,0.17518465,-0.16994812,0.813773642,31.22192313,1,150343.5019,1.483775,,,,,,,
16.01281025,0.17703237,-0.1700794,0.838319168,31.85269293,1,150992.7418,1.4901825,,,,,,,
16.01281025,0.17888008,-0.17021069,0.862864562,33.13123151,1,151210.4284,1.4923309,,,,,,,
16.01281025,0.18072779,-0.17034198,0.887409956,35.09463585,1,150689.0201,1.487185,,,,,,,
16.01281025,0.18257551,-0.17047329,0.911955483,37.49066011,1,149238.8061,1.4728725,,,,,,,
16.01281025,0.18398288,-0.17057329,0.930651302,39.76714511,1,147228.2141,1.4530295,,,,,,,
16.01281025,0.18505482,-0.17064947,0.944891193,41.76997428,1,144853.683,1.4295947,,,,,,,
16.01281025,0.18587129,-0.17070748,0.955737363,43.55876394,1,142638.911,1.4077366,,,,,,,
16.01281025,0.1864932,-0.17075168,0.963998955,45.25620538,1,140749.0072,1.3890847,,,,,,,
16.01281025,0.18696685,-0.17078532,0.970291028,46.94947547,1,139152.1354,1.3733248,,,,,,,
16.01281025,0.18732765,-0.17081098,0.975083976,48.55716358,1,137982.4497,1.3617809,,,,,,,
