Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.942,-0.166396841,0.124163002,0.134103864,41.3913307,7.24510288,150090.797,1.518215628
15.942,-0.166518286,0.125899911,0.156974897,41.0995369,7.44882774,149951.656,1.516808173
15.942,-0.166640073,0.127641797,0.179903239,40.7478981,7.52635288,149934.625,1.516635899
15.942,-0.166761994,0.129385799,0.202866122,40.3638306,7.50904703,149955.734,1.516849423
15.942,-0.166884303,0.131135136,0.225889295,39.9654465,7.42955446,149966.828,1.516961643
15.942,-0.167006761,0.132886365,0.248945877,39.5582771,7.30625677,149959.031,1.516882774
15.942,-0.167129576,0.134643003,0.272061974,39.1473923,7.15365744,149938.766,1.516677787
15.942,-0.167252645,0.136403292,0.295224458,38.7387047,6.98501444,149909.094,1.516377645
15.942,-0.167375848,0.138165459,0.318422198,38.3366623,6.80549002,149868.203,1.51596402
15.942,-0.167499483,0.139933497,0.341683656,37.943264,6.61750412,149814.5,1.515420797
15.942,-0.167623162,0.141702607,0.364971548,37.5577698,6.42033148,149749.406,1.514762351
15.942,-0.167747289,0.143478036,0.38832745,37.1770554,6.21487188,149678.734,1.514047481
15.942,-0.16787149,0.145254403,0.411709726,36.8128204,6.00583601,149606.344,1.513315234
15.942,-0.167996153,0.147037342,0.435161799,36.4662781,5.79138231,149532.469,1.512567965
15.942,-0.16812107,0.148823932,0.458660364,36.1183281,5.56553078,149463.875,1.511874115
15.942,-0.168246046,0.150611356,0.482185811,35.778019,5.33419514,149406.5,1.511293749
15.942,-0.168371499,0.15240562,0.505782545,35.4510918,5.10178995,149357.172,1.51079478
15.942,-0.168496966,0.154200241,0.52940166,35.1261253,4.8689394,149310.047,1.510318096
15.942,-0.168622687,0.155998379,0.553046644,34.8002625,4.6387949,149260.219,1.50981407
15.942,-0.16874817,0.157793045,0.576665223,34.4776115,4.41260433,149207.125,1.509277008
15.942,-0.168873906,0.159591436,0.600310504,34.1692429,4.19236135,149154.094,1.508740583
15.942,-0.168999448,0.161386937,0.623938978,33.8871498,3.97932458,149104.969,1.508243668
15.942,-0.169125155,0.163184792,0.647574008,33.6426926,3.77349758,149064.063,1.507829891
15.942,-0.16925092,0.164983675,0.671220541,33.4507141,3.57581401,149035.563,1.507541604
15.942,-0.169376403,0.166778445,0.694836974,33.3301544,3.38675427,149021.563,1.50739999
15.942,-0.169502214,0.168577626,0.718483865,33.3060188,3.20845866,149022.969,1.507414212
15.942,-0.169627696,0.170372471,0.7421,33.39991,3.04070663,149039.203,1.507578424
15.942,-0.169753507,0.172171965,0.765746772,33.6296921,2.88511705,149074.25,1.507932935
15.942,-0.169879004,0.173966944,0.789363146,34.0140076,2.74278498,149159.203,1.508792262
15.942,-0.170004845,0.175766811,0.813010037,34.62537,2.61031699,149399.938,1.511227372
