"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0.000356101,102385.0346,,
0.000357133,102325.3936,,
0.000358165,102265.529,,
0.000359197,102205.5259,,
0.000360229,102149.2757,,
0.000361262,102088.9121,,
0.000362294,102028.2884,,
0.000363326,101971.5408,,
0.000364358,101910.532,,
0.00036539,101849.399,,
0.000366422,101792.006,,
0.000367455,101730.4367,,
0.000368487,101672.6761,,
0.000369519,101610.7258,,
0.000370551,101548.6201,,
0.000371583,101486.3193,,
0.000372615,101427.7954,,
0.000373648,101365.13,,
0.00037468,101302.3681,,
0.000375712,101239.3615,,
0.000376744,101176.2987,,
0.000377776,101113.0711,,
0.000378809,101045.7636,,
0.000379841,100982.3786,,
0.000380873,100914.9066,,
0.000381905,100847.4427,,
0.000382937,100779.9881,,
0.000383969,100708.5157,,
0.000385002,100637.0641,,
0.000386034,100565.7385,,
0.000387066,100494.5582,,
0.000388098,100415.4408,,
0.00038913,100340.5808,,
0.000390162,100261.9787,,
0.000391195,100179.5908,,
0.000392227,100097.5527,,
0.000393259,100011.8501,,
0.000394291,99922.54647,,
0.000395323,99833.64977,,
0.000396356,99741.23724,,
0.000397388,99645.28619,,
0.00039842,99545.80544,,
0.000399452,99446.94424,,
0.000400484,99340.62404,,
0.000401516,99230.82652,,
0.000402549,99121.57597,,
0.000403581,99004.90257,,
0.000404613,98884.72808,,
0.000405645,98764.97303,,
0.000406677,98637.66482,,
0.000407709,98506.68265,,
0.000408742,98371.88583,,
0.000409774,98233.2138,,
0.000410806,98094.49467,,
0.000411838,97947.68442,,
0.00041287,97796.46224,,
0.000413902,97644.60355,,
0.000414935,97488.00126,,
0.000415967,97330.22621,,
0.000416999,97167.10564,,
0.000418031,97002.33157,,
0.000419063,96831.53354,,
0.000420096,96662.374,,
0.000421128,96486.60051,,
0.00042216,96315.71285,,
0.000423192,96137.37575,,
0.000424224,95963.28974,,
0.000425256,95784.99442,,
0.000426289,95606.30628,,
0.000427321,95430.75806,,
0.000428353,95254.24782,,
0.000429385,95080.43882,,
0.000430417,94909.18483,,
0.000431449,94740.45616,,
0.000432482,94578.20638,,
0.000433514,94414.52849,,
0.000434546,94257.50569,,
0.000435578,94107.40697,,
0.00043661,93960.70364,,
0.000437643,93825.92602,,
0.000438675,93695.47588,,
0.000439707,93570.18653,,
0.000440739,93458.95656,,
0.000441771,93354.55547,,
0.000442803,93258.46209,,
0.000443836,93174.83183,,
0.000444868,93105.15804,,
0.0004459,93043.00612,,
0.000446932,92996.88145,,
0.000447964,92959.96579,,
0.000448996,92937.2922,,
0.000450029,92929.78706,,
0.000451061,92934.45543,,
0.000452093,92952.18123,,
0.000453125,92987.56614,,
0.000454157,93033.04943,,
0.00045519,93093.28651,,
0.000456222,93168.49633,,
0.000457254,93258.7406,,
0.000458286,93360.69565,,
0.000459318,93473.11992,,
0.00046035,93600.95755,,
0.000461383,93743.09827,,
0.000462415,93894.79015,,
0.000463447,94056.07835,,
